doi,url,label_level_1,label_level_2,label_level_3,title,abstract,journal,full_doc_link,is_open_access,isBiomimicry
,https://genomebiology.biomedcentral.com/articles/10.1186/gb-2006-7-2-206,"['Move or Stay Put', 'Get, Store, or Distribute Resources', 'Protect From Physical Harm']","['Move', 'Capture, Absorb, or Filter Resources', 'Regulate Physiological Processes']","['Capture, Absorb, or Filter Chemical Entities', 'Capture, Absorb, or Filter Liquids', 'Maintain Homeostasis']",,,,,,Y
,https://research.chalmers.se/en/publication/508830,"['Move or Stay Put', 'Get, Store, or Distribute Resources', 'Protect From Physical Harm']","['Move', 'Capture, Absorb, or Filter Resources', 'Regulate Physiological Processes']","['Capture, Absorb, or Filter Chemical Entities', 'Capture, Absorb, or Filter Liquids', 'Maintain Homeostasis']",,,,,,Y
,https://www.nature.com/articles/s41586-020-2345-2,"['Get, Store, or Distribute Resources', 'Make']","['Capture, Absorb, or Filter Resources', 'Store Resources', 'Distribute Resources', 'Physically Assemble']","['Capture, Absorb, or Filter Solids', 'Capture, Absorb, or Filter Liquids', 'Store Solids', 'Distribute Solids', 'Physically Assemble Structure']",,,,,,Y
,https://advances.sciencemag.org/content/3/5/e1602374,"['Get, Store, or Distribute Resources', 'Make']","['Capture, Absorb, or Filter Resources', 'Store Resources', 'Distribute Resources', 'Physically Assemble']","['Capture, Absorb, or Filter Solids', 'Capture, Absorb, or Filter Liquids', 'Store Solids', 'Distribute Solids', 'Physically Assemble Structure']",,,,,,Y
,https://www.sciencedirect.com/science/article/pii/B978012387738300041X,['Process Information'],"['Sense Signals/Environmental Cues', 'Process Signals']","['Sense Electricity/Magnetism From the Environment', 'Differentiate Signal From Noise']",,,,,,Y
,http://dx.doi.org/10.1016/j.cbpb.2003.10.005,['Protect From Physical Harm'],"['Regulate Physiological Processes', 'Protect From Non-living Threats']","['Regulate Cellular Processes', 'Maintain Homeostasis', 'Protect From Temperature']",,,,,,Y
,http://dx.doi.org/10.1016/j.gene.2008.07.025,['Protect From Physical Harm'],"['Regulate Physiological Processes', 'Protect From Non-living Threats']","['Regulate Cellular Processes', 'Maintain Homeostasis', 'Protect From Temperature']",,,,,,Y
,http://dx.doi.org/10.1038/ncomms11092,"['Get, Store, or Distribute Resources']","['Capture, Absorb, or Filter Resources', 'Distribute Resources']","['Capture, Absorb, or Filter Organisms', 'Capture, Absorb, or Filter Solids', 'Distribute Solids']",,,,,,Y
,http://www.nature.com/nature/journal/v412/n6845/abs/412439a0.html,"['Get, Store, or Distribute Resources']","['Capture, Absorb, or Filter Resources', 'Distribute Resources']","['Capture, Absorb, or Filter Organisms', 'Capture, Absorb, or Filter Solids', 'Distribute Solids']",,,,,,Y
,https://theconversation.com/what-can-fish-mouths-teach-us-about-engineering-clog-free-filters-56877,"['Get, Store, or Distribute Resources']","['Capture, Absorb, or Filter Resources', 'Distribute Resources']","['Capture, Absorb, or Filter Organisms', 'Capture, Absorb, or Filter Solids', 'Distribute Solids']",,,,,,Y
